category,text,label
not relevant,"and if you do, don't bring your stupid voting habits with you! https://twitter.com/catturd2/status/1290645810510794754 …",0
not relevant,It’s absolutely worth it do this! I adopted this habit early on my nights (when possible) and it made them so much more peaceful/manageable! Saves you from a lot of random 2-5am calls for things that could’ve been addressed by stopping by! 😊,0
not relevant,I suppose you use this same logic to justify your habit of drunk driving?,0
not relevant,"if he paying all shorty bills and Spoiling her, what money do he have? what about his bills? what about his needs and habits 😂😂😂..That’s why ppl should either pay they own shit or 50/50 cause any way other than that a finesse . That’s not being a man that’s being a sucka🍭🤡",0
not relevant,"When doing so, they are healthier than meat eaters across the board.

And again - this is on a Whole Foods plant based diet... not a Coca Cola and Oreo cookie diet (which is also vegan technically ):",0
not relevant,Becomes simple once you get used to it. It became a habit I had to break out from at one point in time. Try incorporating more tea and water.,0
not relevant,"Slide 2 highlights the demographic divide on the habits, particularly around 50+

Slide 4 shows that we’ve seen iPlayer requests expand from 50m per month to over 350m per month since ‘09.

This would be the decade-long trend shift that I highlighted before.",0
not relevant,"Here goes: A lot of the most poisonous habits of mind look like instrumentalizing or undervaluing other people -- but people are complicated and frequently good at compartmentalizing. When you take up relating to people as a profession or serious hobby, it gets really easy to 1/",0
not relevant,Thinking about picking up a drug habit.,0
not relevant,Listen to Habit by Louis Tomlinson and then answer my question... what is the habit that you can’t break? pic.twitter.com/Km8mAAJNCw,0
not relevant,"Omnivore just means to have the ability to survive off a plant based diet or a animal diet.

Vegans that eat healthy have out performed typical meat eaters on every level of nutrition.

Vegans just need to adjust there diets a little to get enough omega-3a and vitamin b12.",0
not relevant,"We are slaves to our habits.
Choose your masters wisely.",0
not relevant,Yeah when I had a fog it used to drive me nuts. The constant licking. Like it can't taste that good surely. And a friends dog has a habit of running out and eating poop and then coming in and attempting to lick everyone 🤣,0
not relevant,"a think a lot of cis allies get confused about this distinction. it's good for us to practice making a habit of stating our pronouns so the room is a safe place for people who want to do that, but mandating it takes things right back to unsafe!",0
not relevant,"yes, unless its like @wikileaks where Im simply getting information that, for over a decade so far has never had to be retracted for inaccuracy. But when @CNN didn't follow back after a couple weeks (sometimes people vaca) I dropped them like a bad habit.",0
not relevant,"The pandemic has affected our eating habits, and not in a good way. Here’s how to create new healthy habits: #COVID19 #food https://on.mktw.net/2DhtPd8 pic.twitter.com/dByjVAXf6j",0
not relevant,i have a really bad habit of just deleting tweets dont mind me😂,0
not relevant,I crave public humiliations based around my cross dressing habits. Diapers are just too close to age play that it makes me ickey,0
not relevant,"@elonmusk Thank you for Pay Pal, Tesla, and SpaceX. Focus on your work, take us to the stars. Forget about social media, its a bad habit.",0
not relevant,I’ve gotten in the habit of drinking about half a nalgene of water when I first wake up. It helps me wake up and I also end up drinking less coffee that way.,0
not relevant,vibing to linkin park ‼️‼️ breaking the habit >>>>,0
not relevant,How tf we demoralize sleeping after 4 am ... like wtf bro ??? From where we genZ got this demonic habit ... 😭😭 pic.twitter.com/tNoP3asbtL,0
not relevant,"Please come back in-office hours. Or do you think I have no right to private life? Is a bad courtesy habit not to wipe your mouth after soup and also to show up to someone's house without having been invited. And ""PLEASE"" don't forget to say thank you and please. THANK YOU. pic.twitter.com/aaIU9ZRg0V",0
not relevant,it’s a bad habit 😂😂😂😂especially when yo parents always tryna take pictures of u https://twitter.com/justafyeblckboy/status/1290034037751341056 …,0
not relevant,I shook some old bad habits and i been good since,0
not relevant,"can't complain, except about my sleeping habits 😂",0
not relevant,"If it makes you feel any better, I have a persistent habit of looking for things so intently that I fail to realize they’re right in front of me.",0
not relevant,The girl still have feelings for him... That's the reason why they say old habits die hard. #BBNaijapic.twitter.com/LbjbZd8ec0,0
not relevant,Differences of habit and language are nothing at all if our aims are identical and our hearts are open.,0
not relevant,"says the n word and blackfishes,, pick a struggle damnhttps://twitter.com/babielouis28/status/1290064340247183361 …",0
not relevant,Yea good plan! We were looking at pictures and it got me thinking that after high school we don’t have anymore albums so I want to get back into the habit because looking at old pics is fun!☺️,0
not relevant,I agree with this but do you think that school managers might not prioritise things like this as they'll want to focus on content/progress - old habits die hard!,0
not relevant,i pick up a lot of words n habits from friends n ppl i talk and hang a lot with so if u ever catch me using one of ur phrases or talking like u don’t feel special 🤨,0
not relevant,Also: deleted the Twitter app off my phone and am trying to break my habit of reading news/twitter first thing in the morning. 4 days in and it's helping a bit.,0
not relevant,"if you’re white, you should not be defending her. end of story.",0
not relevant,"He has a habit of riling up the room, a quick waltz to the lively piano.",0
not relevant,"Don’t do it !

I get that same urge all the time.

Once I spill the beans it just never works out in the end.",0
not relevant,"The DMK leaders are diehard opposers and have a knack of simultaneously talking against every sensitive aspect as well as issuing derogatory remarks. Then some one say our party has more than 1 crore Hindus. They have the habit of criticising the Brahmins, you cannot stop it",0
