user,text,time,latitude,longitude,label
The Desert Way,"Glad we attended Pioneertown's meeting on 8/6. Abt 150 people gathered to hear info re: #AppleFire from the fire mgt. team. Pioneertown, Rimrock & Morongo Valley remain on evac warning. Many thanks to firefighters and police for all you do to keep our desert communities safe. pic.twitter.com/XGugffU2bI",2020-08-08 23:43:05,33.3319672,-114.9902885,
Warning Watch | San Diego East County,"#RT @NWSSanDiego: RT @SouthCoastAQMD: SMOKE ADVISORY UPDATE: #AppleFire Advisory extended through Sunday, August 9th: http://aqmd.gov/advisory pic.twitter.com/jEAMF8ygWt",2020-08-08 23:39:18,,,
tayagrayphoto,Today marks my one-year anniversary of full time work @MyDesert. Incredibly grateful to be doing work that I love.  #photojournalism #workingmom #distancelearning #AppleFire #BlackLivesMatter #CoronavirusPandemicpic.twitter.com/MuxClo9IEM,2020-08-08 23:27:10,,,
South Coast AQMD,"SMOKE ADVISORY UPDATE: #AppleFire Advisory extended through Sunday, August 9th: http://aqmd.gov/advisory  pic.twitter.com/MNoncrHlFq",2020-08-08 23:18:16,,,
Rob ®,This @MyDesert photo of the #AppleFire as seen from #PalmSprings Int’l Airport is kind of amazing.pic.twitter.com/spnxZxOU7c,2020-08-08 22:54:08,33.7718388,-116.7040306,
J.C. Montano,8/8/2020 - APPLE FIRE UPDATE - Saturday Morning Inciweb #AppleFire #SoCal #localNewshttps://www.newsbreakapp.com/n/0PpPC1ZE?pd=06ECz8lq&s=i2 …,2020-08-08 22:46:06,,,
Blake Alexander,#AppleFire from DHS pic.twitter.com/cZHU4rzc4p,2020-08-08 22:30:06,,,
Justin Bartels,"From yesterday’s hike up Ryan Mountain the wind settled down for a bit and the Apple Fire looked like a massive bomb going off!
#applefire #joshuatree #joshuatreenationalpark #shotoniphone #shotoniphone11pro… https://www.instagram.com/p/CDpRqzaJhPP/?igshid=1v88o5aeo8ir2 …",2020-08-08 22:22:58,,,
Rich Thompson,"Thankfully, a quiet day so far on the #AppleFire. 

Still looking at slight warming/drying trend the next few days. So, continued elevated #FireWx conditions for #SoCal.

By next weekend, will be even warmer, especially if the ECMWF verifies.",2020-08-08 22:20:54,,,
YES on AB345,"feeling helpless angry, high on my couch while #AppleFire burns hours away, Siberia is on fire, ice shelf just fell, #Wakashio oil disaster in #Mauritius. wish i had magneto powers just fking crunch pipelines closed and toss this ship into space. fk human greed #ClimateEmergencypic.twitter.com/eGSNqLw1l9",2020-08-08 21:32:30,,,
